"","SEQN","SDDSRVYR","RIDSTATR","RIAGENDR","RIDAGEYR","RIDAGEMN","RIDRETH1","RIDRETH3","RIDEXMON","RIDEXAGM","WTDRD1","WTDR2D","DR1DRSTZ","DR1EXMER","DRABF","DRDINT","DR1DBIH","DR1DAY","DR1LANG"
"SEQN",1,NA,NA,-0.0131992433638579,-0.0090763451698514,0.0213077638646466,0.0067105571098663,0.00644711336261762,0.0185186166866341,0.0321964042678423,-0.0075374352155208,0.0132550893651318,-0.00629933144079503,0.0233009975066422,0.0079950578651637,0.0132373271443846,0.00693883287316111,0.0137990788070941,-0.00516727115392534
"SDDSRVYR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RIDSTATR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RIAGENDR",-0.0131992433638579,NA,NA,1,0.0106162144078509,-0.00263710823673731,-0.0289795766755737,-0.0279383797909545,0.009316647652845,0.000483056695983486,0.00236390071465891,0.00214370679944064,0.00468989819730571,-0.00089516961017904,-0.00656519681608712,0.0190939555322317,-0.0293092227551391,-0.0183379903469297,0.0107454679033467
"RIDAGEYR",-0.0090763451698514,NA,NA,0.0106162144078509,1,0.307492830664777,0.0070382624237895,-0.0126670405552684,-0.0605031844443432,0.205667105507939,0.1906515609591,0.144566227132617,-0.155395075328269,0.020487279701751,0.166102940675204,0.055067743178512,-0.0114385926513629,-0.0617715140716839,0.113417276387444
"RIDAGEMN",0.0213077638646466,NA,NA,-0.00263710823673731,0.307492830664777,1,0.0408563810826149,0.0344189874610448,-0.00475023687251545,0.387240016458008,0.119747283029702,0.104294938059257,-0.16412863414423,0.0148186496652896,0.220727826852875,-0.016958100476047,-0.0144062986643908,0.0266023461417302,0.0207077779945534
"RIDRETH1",0.0067105571098663,NA,NA,-0.0289795766755737,0.0070382624237895,0.0408563810826149,1,0.969521835795385,0.210995806351341,0.0157898241875391,0.00982595469065648,0.0168715829549099,0.049675283093218,-0.0105886798999161,-0.0447384387466823,0.0333307395078881,-0.064106703983587,0.020029099029568,-0.0942015630237783
"RIDRETH3",0.00644711336261762,NA,NA,-0.0279383797909545,-0.0126670405552684,0.0344189874610448,0.969521835795385,1,0.170118809388073,0.00269134532153435,-0.0221993533613837,-0.00682473598935854,0.062894164944242,-0.0122386901403708,-0.0581161775248111,0.0238036048464823,-0.047766398598806,0.0296529523840221,-0.0492445489106077
"RIDEXMON",0.0185186166866341,NA,NA,0.009316647652845,-0.0605031844443432,-0.00475023687251545,0.210995806351341,0.170118809388073,1,-0.0228733031360803,0.0626429910699765,0.0544940474906627,-0.0028500813640743,-0.0695819249693693,0.00362929725558826,0.00512059819823505,-0.091913196899816,-0.0109065647094541,-0.0690592254640703
"RIDEXAGM",0.0321964042678423,NA,NA,0.000483056695983486,0.205667105507939,0.387240016458008,0.0157898241875391,0.00269134532153435,-0.0228733031360803,1,0.216399949560035,0.15649322357921,-0.219499306884632,0.0306764390589485,0.233753037900133,0.0168593238468907,-0.0255829999808129,0.0622560805519453,-0.173460108537046
"WTDRD1",-0.0075374352155208,NA,NA,0.00236390071465891,0.1906515609591,0.119747283029702,0.00982595469065648,-0.0221993533613837,0.0626429910699765,0.216399949560035,1,0.793736324439098,-0.263406997193701,0.00133268827308678,0.257366719175915,0.00579207473149972,-0.0129038395405081,-0.20031800415936,-0.118546288206409
"WTDR2D",0.0132550893651318,NA,NA,0.00214370679944064,0.144566227132617,0.104294938059257,0.0168715829549099,-0.00682473598935854,0.0544940474906627,0.15649322357921,0.793736324439098,1,-0.0769410616025268,-0.00187665614279616,0.0784627802661335,0.29888056459377,-0.0134207414064025,-0.146371728405762,-0.121651580666992
"DR1DRSTZ",-0.00629933144079503,NA,NA,0.00468989819730571,-0.155395075328269,-0.16412863414423,0.049675283093218,0.062894164944242,-0.0028500813640743,-0.219499306884632,-0.263406997193701,-0.0769410616025268,1,-0.0613378793682956,-0.985073537144553,0.103429894266442,0.0254647237165915,0.0533070916056495,0.0271774372832434
"DR1EXMER",0.0233009975066422,NA,NA,-0.00089516961017904,0.020487279701751,0.0148186496652896,-0.0105886798999161,-0.0122386901403708,-0.0695819249693693,0.0306764390589485,0.00133268827308678,-0.00187665614279616,-0.0613378793682956,1,0.060916903818815,0.0180098978848166,-0.0128838183592705,0.00228036241415831,-0.00652467623281764
"DRABF",0.0079950578651637,NA,NA,-0.00656519681608712,0.166102940675204,0.220727826852875,-0.0447384387466823,-0.0581161775248111,0.00362929725558826,0.233753037900133,0.257366719175915,0.0784627802661335,-0.985073537144553,0.060916903818815,1,-0.10828951350414,-0.0251378479539074,-0.0505987107433845,-0.0240371285934009
"DRDINT",0.0132373271443846,NA,NA,0.0190939555322317,0.055067743178512,-0.016958100476047,0.0333307395078881,0.0238036048464823,0.00512059819823505,0.0168593238468907,0.00579207473149972,0.29888056459377,0.103429894266442,0.0180098978848166,-0.10828951350414,1,0.00598883682359088,0.00418584487214086,-0.146762241575815
"DR1DBIH",0.00693883287316111,NA,NA,-0.0293092227551391,-0.0114385926513629,-0.0144062986643908,-0.064106703983587,-0.047766398598806,-0.091913196899816,-0.0255829999808129,-0.0129038395405081,-0.0134207414064025,0.0254647237165915,-0.0128838183592705,-0.0251378479539074,0.00598883682359088,1,0.0610566001645738,0.0119758921221967
"DR1DAY",0.0137990788070941,NA,NA,-0.0183379903469297,-0.0617715140716839,0.0266023461417302,0.020029099029568,0.0296529523840221,-0.0109065647094541,0.0622560805519453,-0.20031800415936,-0.146371728405762,0.0533070916056495,0.00228036241415831,-0.0505987107433845,0.00418584487214086,0.0610566001645738,1,0.0499290479710466
"DR1LANG",-0.00516727115392534,NA,NA,0.0107454679033467,0.113417276387444,0.0207077779945534,-0.0942015630237783,-0.0492445489106077,-0.0690592254640703,-0.173460108537046,-0.118546288206409,-0.121651580666992,0.0271774372832434,-0.00652467623281764,-0.0240371285934009,-0.146762241575815,0.0119758921221967,0.0499290479710466,1
