"","MeanDecreaseGini"
"DID040",0
"DIQ160",0
"DIQ170",3.07559834847949
"DIQ172",0
"DIQ175A",67.8705687728459
"DIQ175B",52.4811805744125
"DIQ175C",72.5562560835509
"DIQ175D",49.5835663707572
"DIQ175E",37.2996060574412
"DIQ175F",39.9140353002611
"DIQ175G",55.8314126370757
"DIQ175H",86.6556215143603
"DIQ175I",65.3227847519582
"DIQ175J",68.8356244386423
"DIQ175K",59.8764482506527
"DIQ175L",53.5946076240209
"DIQ175M",65.6503636553525
"DIQ175N",43.4792014426432
"DIQ175O",65.6238788511749
"DIQ175P",83.3628891906005
"DIQ175Q",44.2864342558747
"DIQ175R",58.6047573890339
"DIQ175S",62.2324236031331
"DIQ175T",37.645331383812
"DIQ175U",62.0821288772846
"DIQ175V",56.2031557180157
"DIQ175W",71.8935878851175
"DIQ175X",62.3914610966057
"DIQ180",0
"DIQ050",0
"DID060",0
"DIQ060U",0
"DIQ070",0
"DIQ230",0
"DIQ240",0
"DID250",0
"DID260",0
"DIQ260U",40.5646354046998
"DIQ275",37.2795145691906
"DIQ280",0
"DIQ291",0
"DIQ300S",0
"DIQ300D",53.6702838642298
"DID310S",0
"DID310D",0
"DID320",0
"DID330",0
"DID341",0
"DID350",0
"DIQ350U",0
"DIQ360",0
